GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared sv title,shared gs coauthors,shared sv coauthors
correlationbetweentheregulatorychangesofpresynapticpetmarkersandtheseverityofdopamineterminallossinthestriatumofparkinsonsdisease,Correlation between the regulatory changes of presynaptic PET markers and the severity of dopamine terminal loss in the striatum of Parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']",reestablishmentofcorticalmotoroutputmapsandspontaneousfunctionalrecoveryviaspareddorsolaterallyprojectingcorticospinalneuronsafterdorsalcolumnspinalcordinjuryinadultmice,Re-establishment of cortical motor output maps and spontaneous functional recovery via spared dorsolaterally projecting corticospinal neurons after dorsal column spinal cord injury in adult mice,"['Tim H. Murphy', 'Wolfram Tetzlaff']",acalciumdependentfeedbackmechanismparticipatesinshapingsinglenmdaminiatureepscs,A calcium-dependent feedback mechanism participates in shaping single NMDA miniature EPSCs,A calcium-dependent feedback mechanism participates in shaping single NMDA miniature EPSCs,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
catecholamineresearchinthe21stcenturyinsightsintolrrk2mutationrelatedpdfrompetimagingstudies,Catecholamine Research in the 21st Century: Insights into LRRK2-Mutation Related PD from PET Imaging Studies,"['A Jon Stoessl', 'Vesna Sossi']",parkinsonsdiseasedetectionfromfmriderivedbrainstemregionalfunctionalconnectivitynetworks,Parkinson’s Disease Detection from fMRI-Derived Brainstem Regional Functional Connectivity Networks,"['Martin McKeown', 'Z. Jane Wang']",robustgraftsurvivalandnormalizeddopaminergicinnervationdonotobligaterecoveryinaparkinsondiseasepatient,Robust graft survival and normalized dopaminergic innervation do not obligate recovery in a Parkinson disease patient,Robust graft survival and normalized dopaminergic innervation do not obligate recovery in a Parkinson disease patient,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
activitydependentneuroprotectionintheacutephaseafterstroke,Activity dependent neuroprotection in the acute phase after stroke,"['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']",probabilisticbooleannetworkanalysisofbrainconnectivityinparkinsonsdisease,Probabilistic Boolean network analysis of brain connectivity in Parkinson's disease,"['Martin McKeown', 'Z. Jane Wang']",anovelporcinemodeloftraumaticthoracicspinalcordinjury,A novel porcine model of traumatic thoracic spinal cord injury,A Novel porcine model of traumatic thoracic spinal cord injury,"['Peter Cripton', 'Wolfram Tetzlaff']","['Peter Cripton', 'Wolfram Tetzlaff']"
smalleffectsizeleadstoreproducibilityfailureinrestingstatefmristudies,Small effect size leads to reproducibility failure in resting-state fMRI studies,"['Martin McKeown', 'Z. Jane Wang']",sterolregulatoryelementbindingprotein1srebp1activationinmotorneuronsinexcitotoxicityandamyotrophiclateralsclerosisalsindipapotentialtherapeuticpeptide,"Sterol regulatory element binding protein-1 (SREBP1) activation in motor neurons in excitotoxicity and amyotrophic lateral sclerosis (ALS): Indip, a potential therapeutic peptide","['Yu Tian Wang', 'Ian Mackenzie']",exerciseincreasescaudatedopaminereleaseandventralstriatalactivationinparkinsonsdisease,Exercise increases caudate dopamine release and ventral striatal activation in Parkinson's disease,Exercise increases caudate dopamine release and ventral striatal activation in Parkinson's disease,"['Lara Boyd', 'Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']","['Lara Boyd', 'Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']"
galvanicvestibularstimulationdataanalysisandapplicationsinneurorehabilitationsupplementarymaterial,Galvanic Vestibular Stimulation: Data Analysis and Applications in Neurorehabilitation Supplementary Material,"['Martin McKeown', 'Z. Jane Wang']",priorexposuretosalientwinpairedcuesinaratgamblingtaskincreasessensitivitytococaineselfadministrationandsuppressesdopamineeffluxinnucleusaccumbenssupportfortherewarddeficiencyhypothesisofaddiction,Prior exposure to salient win-paired cues in a rat gambling task increases sensitivity to cocaine self-administration and suppresses dopamine efflux in nucleus accumbens: Support for the reward deficiency hypothesis of addiction,"['Anthony Phillips', 'Catharine Winstanley']",laminapropriaandolfactorybulbensheathingcellsexhibitdifferentialintegrationandmigrationandpromotedifferentialaxonsproutinginthelesionedspinalcord,Lamina propria and olfactory bulb ensheathing cells exhibit differential integration and migration and promote differential axon sprouting in the lesioned spinal cord,Lamina propria and olfactory bulb ensheathing cells exhibit differential integration and migration and promote differential axon sprouting in the lesioned spinal cord,"['Wolfram Tetzlaff', 'Jane Roskams']","['Wolfram Tetzlaff', 'Jane Roskams']"
searchgoalsandthebrain,"Search, goals and the brain","['Catharine Winstanley', 'Jeremy Seamans']",localphasetensorfeaturesfor3dultrasoundtostatisticalshapeposespinemodelregistration,Local phase tensor features for 3-D ultrasound to statistical shape+pose spine model registration,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']",mappingsynapticglutamatetransporterdysfunctioninvivotoregionssurroundingaβplaquesbyiglusnfrtwophotonimaging,Mapping synaptic glutamate transporter dysfunction in vivo to regions surrounding Aβ plaques by iGluSnFR two-photon imaging,Mapping synaptic glutamate transporter dysfunction in vivo to regions surrounding Aβ plaques by iGluSnFR two-photon imaging,"['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']","['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']"
uniformrateofprogressioninsubregionsoftheputameninparkinsonsdiseaseevidenceforthedissociationbetweentheetiologyandpathogenesis,Uniform rate of progression in subregions of the putamen in Parkinson's disease: evidence for the dissociation between the etiology and pathogenesis,"['A Jon Stoessl', 'Vesna Sossi']",repetitiveclosedheadimpactmodelofengineeredrotationalaccelerationchimerainjuryinratsincreasesimpulsivitydecreasesdopaminergicinnervationintheolfactorytubercleandgenerateswhitematterinflammationtauphosphorylationanddegeneration,"Repetitive closed-head impact model of engineered rotational acceleration (CHIMERA) injury in rats increases impulsivity, decreases dopaminergic innervation in the olfactory tubercle and generates white matter inflammation, tau phosphorylation and degeneration","['Peter Cripton', 'Catharine Winstanley']",progranulindeficiencydecreasesgrossneuralconnectivitybutenhancestransmissionatindividualsynapses,Progranulin deficiency decreases gross neural connectivity but enhances transmission at individual synapses,Progranulin deficiency decreases gross neural connectivity but enhances transmission at individual synapses,"['Shernaz Bamji', 'Ian Mackenzie', 'Lynn Raymond']","['Shernaz Bamji', 'Ian Mackenzie', 'Lynn Raymond']"
relativepreservationofserotonergicfunctionincreasesresponsetotreatmentinearlypd,Relative Preservation of Serotonergic Function Increases Response to Treatment in Early PD,"['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']",invivolargescalecorticalmappingusingchannelrhodopsin2stimulationintransgenicmicerevealsasymmetricandreciprocalrelationshipsbetweencorticalareas,In vivo large-scale cortical mapping using channelrhodopsin-2 stimulation in transgenic mice reveals asymmetric and reciprocal relationships between cortical areas,"['Tim H. Murphy', 'Jeffrey LeDue']",systematicphenomicsanalysisofautismassociatedgenesrevealsparallelnetworksunderlyingreversibleimpairmentsinhabituation,Systematic phenomics analysis of autism-associated genes reveals parallel networks underlying reversible impairments in habituation,Systematic phenomics analysis of autism-associated genes reveals parallel networks underlying reversible impairments in habituation,"['Paul Pavlidis', 'Kurt Haas', 'Catharine Rankin']","['Paul Pavlidis', 'Kurt Haas', 'Catharine Rankin']"
enhancementofspinebonesurfacesfromultrasounddatausingimprovedlocalphasetensorfilter,ENHANCEMENT OF SPINE BONE SURFACES FROM ULTRASOUND DATA USING IMPROVED LOCAL PHASE TENSOR FILTER,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']",changesofdopamineturnoverintheprogressionofparkinsonsdiseaseasmeasuredbypositronemissiontomographytheirrelationtodiseasecompensatorymechanisms,Changes of dopamine turnover in the progression of Parkinson's disease as measured by positron emission tomography: Their relation to disease-compensatory mechanisms,"['A Jon Stoessl', 'Vesna Sossi']",computationalneurosciencemathematicalandstatisticalperspectives,Computational neuroscience: Mathematical and statistical perspectives,Computational Neuroscience: Mathematical and Statistical Perspectives,"['Adrienne Fairhall', 'Eric Shea-Brown']","['Adrienne Fairhall', 'Eric Shea-Brown']"
dopamineagonisttherapyaffectsuptakeoff186fluorodopaasmeasuredbypositronemissiontomography,Dopamine agonist therapy affects uptake of [F-18] 6-fluorodopa as measured by positron emission tomography,"['A Jon Stoessl', 'Vesna Sossi']",impactofdifferentrealignmentalgorithmsonthespmanalysisof11craclopridepetstudies,Impact of Different Realignment Algorithms on the SPM Analysis of [ <sup>11</sup>C]Raclopride PET Studies,"['A Jon Stoessl', 'Vesna Sossi']",afamilialformofparkinsonismdementiaandmotorneurondiseasealongitudinalstudy,"A familial form of parkinsonism, dementia, and motor neuron disease: A longitudinal study","A familial form of parkinsonism, dementia, and motor neuron disease: A longitudinal study","['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
learningeffectplaysasignificantroleinperformanceonthemontrealcognitiveassessmentinpatientswithparkinsonsdisease,Learning effect plays a significant role in performance on the Montreal cognitive assessment in patients with Parkinson's disease,"['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell']",dynamicbayesiannetworkmodelingoffmriacomparisonofgroupanalysismethods,Dynamic Bayesian network modeling of fMRI: A comparison of group-analysis methods,"['Martin McKeown', 'Z. Jane Wang']",coordinateregulationofglutathionebiosynthesisandreleasebynrf2expressinggliapotentlyprotectsneuronsfromoxidativestress,Coordinate regulation of glutathione biosynthesis and release by Nrf2-expressing glia potently protects neurons from oxidative stress,Coordinate regulation of glutathione biosynthesis and release by Nrf2-expressing glia potently protects neurons from oxidative stress,"['Tim H. Murphy', 'Andy Shih']","['Tim H. Murphy', 'Andy Shih']"
alteredrestingstatefunctionalinterhemisphericconnectivityinparkinsonsdisease,Altered resting-state functional interhemispheric connectivity in Parkinson's disease,"['Martin McKeown', 'Z. Jane Wang']",aneemdivaframeworkforconcurrentmultidimensionaleegandunidimensionalkinematicdataanalysis,An EEMD-IVA framework for concurrent multidimensional EEG and unidimensional kinematic data analysis,"['Martin McKeown', 'Z. Jane Wang']",dj1andαsyninlrrk2csfdonotcorrelatewithstriataldopaminergicfunction,DJ-1 and αSYN in LRRK2 CSF do not correlate with striatal dopaminergic function,DJ-1 and αSYN in LRRK2 CSF do not correlate with striatal dopaminergic function,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
jointmultimodalanalysisrevealedcomplementaryspatialpatternsofdopaminergicandserotonergicinteractionsrelatedtolevodoparesponseinparkinsonsdisease,Joint multimodal analysis revealed complementary spatial patterns of dopaminergic and serotonergic interactions related to levodopa response in Parkinson's disease,"['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']",galvanicvestibularstimulationdataanalysisandapplicationsinneurorehabilitation,Galvanic Vestibular Stimulation: Data Analysis and Applications in Neurorehabilitation,"['Martin McKeown', 'Z. Jane Wang']",undesiredeffectsofacombinatorialtreatmentforspinalcordinjurytransplantationofolfactoryensheathingcellsandbdnfinfusiontotherednucleus,Undesired effects of a combinatorial treatment for spinal cord injury–transplantation of olfactory ensheathing cells and BDNF infusion to the red nucleus,Undesired effects of a combinatorial treatment for spinal cord injury - Transplantation of olfactory ensheathing cells and BDNF infusion to the red nucleus,"['Wolfram Tetzlaff', 'Jane Roskams']","['Wolfram Tetzlaff', 'Jane Roskams']"
2027functionalimagingofnigrostriataldopaminergicsystemwithpositronemissiontomographyinadultonsetdystoniaparkinsonismpark14duetopla2g6mutation,2.027 FUNCTIONAL IMAGING OF NIGROSTRIATAL DOPAMINERGIC SYSTEM WITH POSITRON EMISSION TOMOGRAPHY IN ADULT-ONSET DYSTONIA-PARKINSONISM (PARK14) DUE TO PLA2G6 MUTATION,"['A Jon Stoessl', 'Vesna Sossi']",theselectivedopamined1receptoragonistskf81297modulatesnmdareceptorcurrentsindependentlyofd1receptors,The selective dopamine D<inf>1</inf> receptor agonist SKF81297 modulates NMDA receptor currents independently of D<inf>1</inf> receptors,"['Anthony Phillips', 'Yu Tian Wang']",developmentaldecreaseinnmdareceptordesensitizationassociatedwithshifttosynapseandinteractionwithpostsynapticdensity95,Developmental decrease in NMDA receptor desensitization associated with shift to synapse and interaction with postsynaptic density-95,Developmental Decrease in NMDA Receptor Desensitization Associated with Shift to Synapse and Interaction with Postsynaptic Density-95,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
triposeaweaklysupervised3dhumanposeestimationviatriangulationfromvideo,TriPose: A Weakly-Supervised 3D Human Pose Estimation via Triangulation from Video,"['Z. Jane Wang', 'Helge Rhodin']",disruptionoflongtermdepressionpotentiateslatentinhibitionkeyroleforcentralnucleusoftheamygdala,Disruption of Long-Term Depression Potentiates Latent Inhibition: Key Role for Central Nucleus of the Amygdala,"['Anthony Phillips', 'Yu Tian Wang']",acriticalroleforastrocytesinhypercapnicvasodilationinbrain,A critical role for astrocytes in hypercapnic vasodilation in brain,A critical role for astrocytes in hypercapnic vasodilation in brain,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian MacVicar', 'Jeffrey LeDue']"
neuroimagingofdopaminergicfunctioninacaseofperrysyndrome,Neuroimaging of dopaminergic function in a case of Perry syndrome,"['A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']",introductiontotheissueonfmrianalysisforhumanbrainmapping,Introduction to the issue on fMRI analysis for human brain mapping,"['Martin McKeown', 'Z. Jane Wang']",visualizingvesiculardopaminedynamicsinparkinsonsdisease,Visualizing vesicular dopamine dynamics in Parkinson's disease,Visualizing vesicular dopamine dynamics in Parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
quantificationofinflammationintheratbrainusing11cpbr28pet,Quantification of inflammation in the rat brain using [11C] PBR28 PET,"['A Jon Stoessl', 'Vesna Sossi']",ablindsourceseparationframeworkformonitoringheartbeatrateusingnanofiberbasedstrainsensors,A Blind Source Separation Framework for Monitoring Heart Beat Rate Using Nanofiber-Based Strain Sensors,"['Z. Jane Wang', 'Peyman Servati']",biochemicalvariationsinthesynapticlevelofdopamineprecedemotorfluctuationsinparkinsonsdiseasepetevidenceofincreaseddopamineturnover,Biochemical variations in the synaptic level of dopamine precede motor fluctuations in Parkinson's disease: PET evidence of increased dopamine turnover,Biochemical variations in the synaptic level of dopamine precede motor fluctuations in Parkinson's disease: PET evidence of increased dopamine turnover,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
feasibilityofstatisticalmodelregistrationtoultrasoundforguidanceinscaphoidfracturefixation,FEASIBILITY OF STATISTICAL MODEL REGISTRATION TO ULTRASOUND FOR GUIDANCE IN SCAPHOID FRACTURE FIXATION,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']",relevancenetworkmodelingformuscleassociationpatterninreachingmovements,Relevance network modeling for muscle association pattern in reaching movements,"['Martin McKeown', 'Z. Jane Wang']",ethicalissuesinthemanagementofparkinsonsdisease,Ethical issues in the management of Parkinson’s Disease,Ethical Issues In The Management Of Parkinson'S Disease,"['A Jon Stoessl', 'Silke Cresswell']","['A Jon Stoessl', 'Silke Cresswell']"
increasedneuroinflammationinasymptomaticlrrk2mutationcarriersapilotpetimagingstudyp4321,Increased Neuroinflammation in Asymptomatic LRRK2 Mutation Carriers: A Pilot PET Imaging Study (P4. 321),"['A Jon Stoessl', 'Vesna Sossi']",contrastiveenhanceddomaingeneralizationwithfederatedlearning,Contrastive-enhanced Domain Generalization with Federated Learning,"['Martin McKeown', 'Z. Jane Wang']",abnormalphasecouplinginparkinsonsdiseaseandnormalizationeffectsofsubthresholdvestibularstimulation,Abnormal phase coupling in Parkinson’s disease and normalization effects of subthreshold vestibular stimulation,Abnormal phase coupling in Parkinson’s disease and normalization effects of subthreshold vestibular stimulation,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
thepresenceof3omethyl18ffluorodopa30mfdinfluencestheevaluationofthe18ffluorodopatissueinputuptakerateconstantinadiseasedependentwayastudyin,The presence of 3-O-methyl-[18F] fluoro-DOPA (30MFD) influences the evaluation of the 18F-fluorodopa tissue input uptake rate constant in a disease dependent way: a study in …,"['A Jon Stoessl', 'Vesna Sossi']",agerelateddifferencesinlevodopadynamicsinparkinsonsimplicationsformotorcomplications,Age-related differences in levodopa dynamics in Parkinson's: Implications for motor complications,"['A Jon Stoessl', 'Vesna Sossi']",impactofthespatialnormalizationtemplateandrealignmentprocedureonthespmanalysisof11craclopridepetstudies,Impact of the spatial normalization template and realignment procedure on the SPM analysis of [11C] raclopride PET studies,Impact of the spatial normalization template and realignment procedure on the SPM analysis of [11C]raclopride PET studies,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
distinctspatiotemporalpatternsofputuminaldopamineprocessinginparkinsonsdiseaseamultitracerpositronemissiontomographystudy,Distinct spatio-temporal patterns of putuminal dopamine processing in Parkinson's disease: A multi-tracer positron emission tomography study,"['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']",reshapingthepathofmildcognitiveimpairmentbyrefiningexerciseprescriptionastudyprotocolofarandomizedcontrolledtrialtounderstandthewhatforwhomandhowofexercisetopromotecognitivefunction,"Reshaping the path of mild cognitive impairment by refining exercise prescription: a study protocol of a randomized controlled trial to understand the “what,” “for whom,” and “how” of exercise to promote cognitive function","['Lara Boyd', 'Liisa Galea']",hyperexcitablesuperiorcolliculusandfatalbrainstemspreadingdepolarizationinamodelofsuddenunexpecteddeathinepilepsy,Hyperexcitable superior colliculus and fatal brainstem spreading depolarization in a model of sudden unexpected death in epilepsy,Hyperexcitable superior colliculus and fatal brainstem spreading depolarization in a model of Sudden Unexpected Death in Epilepsy,"['Brian MacVicar', 'Terry Snutch']","['Brian MacVicar', 'Terry Snutch']"
neurophotonicstutorialonmakingconnectivitydiagramsfromchannelrhodopsin2stimulateddata,Neurophotonics tutorial on making connectivity diagrams from Channelrhodopsin-2 stimulated data,"['Tim H. Murphy', 'Jeffrey LeDue']",adaptposecrossdatasetadaptationfor3dhumanposeestimationbylearnablemotiongeneration,AdaptPose: Cross-Dataset Adaptation for 3D Human Pose Estimation by Learnable Motion Generation,"['Z. Jane Wang', 'Helge Rhodin']",3dmorphautomaticanalysisofmicroglialmorphologyinthreedimensionsfromexvivoandinvivoimaging,3DMorph automatic analysis of microglial morphology in three dimensions from ex vivo and in vivo imaging,3dmorph automatic analysis of microglial morphology in three dimensions from ex vivo and in vivo imaging,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian MacVicar', 'Jeffrey LeDue']"
methodsformodulatingneuronalresponses,Methods for modulating neuronal responses,"['Anthony Phillips', 'Yu Tian Wang']",dopamineturnoverincreasesinasymptomaticlrrk2mutationscarriers,Dopamine turnover increases in asymptomatic LRRK2 mutations carriers,"['A Jon Stoessl', 'Vesna Sossi']",connectivitybasedparcellationoffunctionalsubroisinputamenusingasparsespatiallyregularizedregressionmodel,Connectivity-based parcellation of functional SubROIs in putamen using a sparse spatially regularized regression model,Connectivity-based parcellation of functional SubROIs in putamen using a sparse spatially regularized regression model,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
3118investigationoftheroleofexpectationinthemechanismoftheplaceboeffectinparkinsonsdiseaseusinghighresolutionpositronemissiontomographypetwith11c,3.118 Investigation of the role of expectation in the mechanism of the placebo effect in Parkinson's disease using high-resolution positron emission tomography (PET) with [11C …,"['A Jon Stoessl', 'Vesna Sossi']",effectofdopaminelossandthemetabolite3omethyl18ffluorodopaontherelationbetweenthe18ffluorodopatissueinputuptakerateconstantkoccandthe18ffluorodopaplasmainputuptakerateconstantki,Effect of dopamine loss and the metabolite 3-O-methyl-[<sup>18</sup>F]fluoro-dopa on the relation between the <sup>18</sup>F-fluorodopa tissue input uptake rate constant K<inf>occ</inf> and the [<sup>18</sup>F]fluorodopa plasma input uptake rate constant K<inf>i</inf>,"['A Jon Stoessl', 'Vesna Sossi']",effectsofintermittentthetabursttranscranialmagneticstimulationoncognitionandhippocampalvolumesinbipolardepression,Effects of intermittent theta-burst transcranial magnetic stimulation on cognition and hippocampal volumes in bipolar depression,Effects of intermittent theta-burst transcranial magnetic stimulation on cognition and hippocampal volumes in bipolar depression,"['Fidel Vila-Rodriguez', 'Sophia Frangou']","['Fidel Vila-Rodriguez', 'Sophia Frangou']"
thesafetyandfeasibilityofmediterraneanketogenicdietaryinterventionsonguthealthinparkinsonsdiseaseaprotocolforanopenlabelrandomizedcrossoverdesign,"The Safety and Feasibility of Mediterranean-Ketogenic Dietary Interventions on Gut Health in Parkinson’s Disease: A Protocol for an Open-label, Randomized, Crossover Design …","['Wolfram Tetzlaff', 'Silke Cresswell']",partialdirectedcoherencebasedinformationflowinparkinsonsdiseasepatientsperformingavisuallyguidedmotortask,Partial directed coherence-based information flow in Parkinson's disease patients performing a visually-guided motor task,"['Martin McKeown', 'Z. Jane Wang']",whitematterbiomarkersassociatedwithmotorchangeinindividualswithstrokeacontinuousthetaburststimulationstudy,White matter biomarkers associated with motor change in individuals with stroke: a continuous theta burst stimulation study,White matter biomarkers associated with motor change in individuals with stroke: A continuous theta burst stimulation study,"['Lara Boyd', 'Todd Woodward']","['Lara Boyd', 'Todd Woodward']"
endocannabinoidspecificimpairmentinsynapticplasticityinstriatumofhuntingtonsdiseasemousemodelvol38pg5442018,"Endocannabinoid-Specific Impairment in Synaptic Plasticity in Striatum of Huntington's Disease Mouse Model (vol 38, pg 544, 2018)","['Lynn Raymond', 'Jeffrey LeDue']",bothstationaryanddynamicfunctionalinterhemisphericconnectivityarestronglyassociatedwithperformanceoncognitivetestsinmultiplesclerosis,Both Stationary and Dynamic Functional Interhemispheric Connectivity Are Strongly Associated With Performance on Cognitive Tests in Multiple Sclerosis,"['Martin McKeown', 'Z. Jane Wang']",clinicallyinformedautomatedassessmentoffingertappingvideosinparkinsonsdisease,Clinically Informed Automated Assessment of Finger Tapping Videos in Parkinson’s Disease,Clinically Informed Automated Assessment of Finger Tapping Videos in Parkinson’s Disease,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
invivopetstudiesinnormalhumansubjectsshowthatratiosofdattovmat2inthestriatumdecreasewitharostrocaudalgradientandalsowithagingimplicationsforthe,In vivo PET studies in normal human subjects show that ratios of DAT to VMAT2 in the striatum decrease with a rostrocaudal gradient and also with aging: implications for the …,"['A Jon Stoessl', 'Vesna Sossi']",neurosciencenucleusaccumbenslongtermdepressionandtheexpressionofbehavioralsensitization,Neuroscience: Nucleus accumbens long-term depression and the expression of behavioral sensitization,"['Anthony Phillips', 'Yu Tian Wang']",levodopainducedchangesinsynapticdopaminelevelsincreasewithprogressionofparkinsonsdiseaseimplicationsfordyskinesias,Levodopa-induced changes in synaptic dopamine levels increase with progression of Parkinson's disease: implications for dyskinesias,Levodopa-induced changes in synaptic dopamine levels increase with progression of Parkinson's disease: Implications for dyskinesias,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
ajournaldevotedtofunctionalneuroanatomyandneuroimaging,A Journal Devoted to Functional Neuroanatomy and Neuroimaging,"['Sophia Frangou', 'Randy Mcintosh']",guesteditorialforspecialsectiononmultimodalbiomedicalimagingalgorithmsandapplications,Guest editorial for special section on multimodal biomedical imaging: Algorithms and applications,"['Martin McKeown', 'Z. Jane Wang']",inductionofthenrf2drivenantioxidantresponseconfersneuroprotectionduringmitochondrialstressinvivo,Induction of the Nrf2-driven antioxidant response confers neuroprotection during mitochondrial stress in vivo,Induction of the Nrf2-driven antioxidant response confers neuroprotection during mitochondrial stress in vivo,"['Tim H. Murphy', 'Andy Shih']","['Tim H. Murphy', 'Andy Shih']"
amultivariateapproachfordenoisingoft2relaxationdecaycurvesinmyelinwaterfractionimaging,A Multivariate Approach for Denoising of T2 Relaxation Decay Curves in Myelin Water Fraction Imaging,"['Martin McKeown', 'Z. Jane Wang']",parkinsonsdiseaserigidityrelationtobrainconnectivityandmotorperformance,Parkinson's disease rigidity: Relation to brain connectivity and motor performance,"['Martin McKeown', 'Z. Jane Wang']",dctn1pk56rinprogressivesupranuclearpalsy,DCTN1 p. K56R in progressive supranuclear palsy,DCTN1 p.K56R in progressive supranuclear palsy,"['Martin McKeown', 'Silke Cresswell']","['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell']"
thecellularmechanismsofneuronalswellingunderlyingcytotoxicbrainedema,THE CELLULAR MECHANISMS OF NEURONAL SWELLING UNDERLYING CYTOTOXIC BRAIN EDEMA,"['Brian MacVicar', 'Terry Snutch']",fmrigroupstudiesofbrainconnectivityviaagrouprobustlasso,FMRI group studies of brain connectivity via a group robust LASSO,"['Martin McKeown', 'Z. Jane Wang']",anicplsframeworkforgroupcorticomuscularcouplinganalysis,An IC-PLS framework for group corticomuscular coupling analysis,An IC-PLS framework for group corticomuscular coupling analysis,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
invivochannelrhodopsin2stimulationandvoltagesensitivedyeimaginginamousemodelofstrokerevealspreservedfunctionalconnectionsposteriortothelesion,In Vivo Channelrhodopsin-2 Stimulation and Voltage-Sensitive Dye Imaging in a Mouse Model of Stroke Reveals Preserved Functional Connections Posterior to the Lesion,"['Tim H. Murphy', 'Jeffrey LeDue']",timevaryingbrainconnectivitymodelingusingfmrisignals,Time varying brain connectivity modeling using FMRI signals,"['Martin McKeown', 'Z. Jane Wang']",mesopydualbraincorticalcalciumimaginginmiceduringheadfixedsocialstimuluspresentation,Meso-py: Dual brain cortical calcium imaging in mice during head-fixed social stimulus presentation,Meso-Py: Dual Brain Cortical Calcium Imaging in Mice during Head-Fixed Social Stimulus Presentation,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
protectiveeffectofketogenicdietonneuropathologyandbehaviorafterrepetitivemildtraumaticbraininjuryusingchimerainjuvenilemice,Protective effect of ketogenic diet on neuropathology and behavior after repetitive mild traumatic brain injury using CHIMERA in juvenile mice,"['Peter Cripton', 'Wolfram Tetzlaff']",theuseofmultivariateemdandccafordenoisingmuscleartifactsfromfewchanneleegrecordings,The Use of Multivariate EMD and CCA for Denoising Muscle Artifacts from Few-Channel EEG Recordings,"['Martin McKeown', 'Z. Jane Wang']",noniterativemultimodalpartialviewtofullviewimageregistrationusinglocalphasebasedimageprojections,Non-iterative multi-modal partial view to full view image registration using local phase-based image projections,Non-iterative multi-modal partial view to full view image registration using local phase-based image projections,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
monitoringthefunctionalparcellationandtopographywithmesoscopiccalciumimagingofrestingstatecorticalactivitityinmice,Monitoring the functional parcellation and topography with mesoscopic calcium imaging of resting state cortical activitity in mice,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,longitudinalevolutionofcompensatorychangesinstriataldopamineprocessinginparkinsonsdisease,Longitudinal evolution of compensatory changes in striatal dopamine processing in Parkinson's disease,Longitudinal evolution of compensatory changes in striatal dopamine processing in Parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
